************************************************************************************************************************************
     GABRIELA MARTINEZ                            AVENIDA CHAPULTEPEC 543                                 $    39,750.00            
     VANESSA GUTIERREZ                            AVENIDA CONSTITUYENTES 543                              $    37,250.00            
     ISABEL TREJO                                 PASEO DE LOS ARCOS 876                                  $    35,750.00            
     MONICA CASTILLO                              AVENIDA REVOLUCION 432                                  $    38,500.00            
     SOFIA SANDOVAL                               PASEO INTERLOMAS 654                                    $    30,750.00            
     VALENTINA MENDEZ                             AVENIDA SAN ANTONIO 876                                 $    35,500.00            
     CECILIA VILLANUEVA                           AVENIDA ZARAGOZA 543                                    $    33,500.00            
     JIMENA AGUILAR                               PASEO DE LA REFORMA 876                                 $    39,500.00            
     ANDRES CASTILLO                              AVENIDA UNIVERSIDAD 543                                 $    36,750.00            
     JORGE FUENTES                                PASEO DE LOS TAMARINDOS 654                             $    37,250.00            
     EMILIO SANCHEZ                               AVENIDA CHAPULTEPEC 543                                 $    39,750.00            
     SOFIA DOMINGUEZ                              AVENIDA CONSTITUYENTES 432                              $    37,250.00            
     VALERIA CASTILLO                             PASEO DE LOS ARCOS 765                                  $    35,750.00            
     CECILIA SANDOVAL                             AVENIDA REVOLUCION 654                                  $    38,500.00            
     MONICA GUTIERREZ                             PASEO INTERLOMAS 369                                    $    30,500.00            
     ISABEL MENDEZ                                AVENIDA SAN ANTONIO 432                                 $    35,500.00            
     JIMENA AGUILAR                               AVENIDA ZARAGOZA 876                                    $    33,000.00            
     NATALIA MARTINEZ                             PASEO DE LA REFORMA 543                                 $    39,250.00            
     ROSA VILLARREAL                              AVENIDA UNIVERSIDAD 432                                 $    36,750.00            
     TERESA CERVANTES                             PASEO DE LOS TAMARINDOS 654                             $    37,500.00            
     VALENTINA TREJO                              AVENIDA CHAPULTEPEC 543                                 $    39,750.00            
************************************************************************************************************************************
*                                                 Reporte de Empleados Eventuales                                      Pagina:   7 *
************************************************************************************************************************************
              NOMBRE EMPLEADO                                  DIRECCION                                      SUELDO      10/04/2025
     -----------------------------------          -----------------------------------                     --------------            
     SOLEDAD CASTRO                               AVENIDA CONSTITUYENTES 765                              $    37,750.00            
     PAULINA MARTINEZ                             PASEO DE LOS ARCOS 876                                  $    35,000.00            
     LUCIA REYES                                  AVENIDA REVOLUCION 159                                  $    38,500.00            
     CECILIA VILLANUEVA                           PASEO INTERLOMAS 432                                    $    30,750.00            
     JIMENA TREJO                                 AVENIDA BENITO JUAREZ 987                               $    35,500.00            
     REGINA SALAZAR                               AVENIDA ZARAGOZA 321                                    $    33,000.00            
     ADRIANA FUENTES                              PASEO DE LA REFORMA 543                                 $    39,250.00            
     VERONICA AGUILAR                             AVENIDA UNIVERSIDAD 432                                 $    36,750.00            
     PAOLA PEREZ                                  PASEO DE LOS TAMARINDOS 654                             $    37,250.00            
     GABRIELA MARTINEZ                            AVENIDA CHAPULTEPEC 543                                 $    39,750.00            
     VANESSA MARTINEZ                             AVENIDA CONSTITUYENTES 654                              $    37,750.00            
     ISABEL SALAZAR                               PASEO DE LOS ARCOS 765                                  $    35,000.00            
     MONICA CASTILLO                              AVENIDA REVOLUCION 432                                  $    38,500.00            
     SOFIA SANDOVAL                               PASEO INTERLOMAS 765                                    $    30,750.00            
     VALENTINA MENDEZ                             AVENIDA SAN ANTONIO 876                                 $    35,500.00            
     CECILIA VILLANUEVA                           AVENIDA ZARAGOZA 543                                    $    33,000.00            
     JIMENA AGUILAR                               PASEO DE LA REFORMA 432                                 $    39,250.00            
     ANDRES CASTILLO                              AVENIDA UNIVERSIDAD 543                                 $    36,750.00            
     JORGE FUENTES                                PASEO DE LOS TAMARINDOS 654                             $    37,250.00            
     EMILIO SANCHEZ                               AVENIDA CHAPULTEPEC 543                                 $    39,750.00            
     SOFIA CASTILLO                               AVENIDA REVOLUCION 765                                  $    37,750.00            
     VALERIA GONZALEZ                             PASEO DE LOS ARCOS 432                                  $    35,750.00            
     CECILIA MARTINEZ                             AVENIDA UNIVERSIDAD 654                                 $    38,500.00            
     MONICA FUENTES                               PASEO INTERLOMAS 321                                    $    30,750.00            
     ISABEL REYES                                 AVENIDA SAN ANTONIO 876                                 $    35,250.00            
     JIMENA MENDEZ                                AVENIDA ZARAGOZA 765                                    $    33,500.00            
     NATALIA DOMINGUEZ                            PASEO DE LA REFORMA 876                                 $    39,250.00            
     ROSA CERVANTES                               AVENIDA CHAPULTEPEC 543                                 $    36,750.00            
     TERESA PEREZ                                 PASEO DE LOS TAMARINDOS 765                             $    37,500.00            
     VALENTINA SALAZAR                            AVENIDA MIGUEL ALEMAN 432                               $    39,750.00            
     SOFIA DOMINGUEZ                              AVENIDA CONSTITUYENTES 765                              $    37,250.00            
     VALERIA CASTILLO                             PASEO DE LOS ARCOS 876                                  $    35,750.00            
     CECILIA SANDOVAL                             AVENIDA REVOLUCION 654                                  $    38,500.00            
     MONICA GUTIERREZ                             PASEO INTERLOMAS 369                                    $    30,500.00            
     ISABEL MENDEZ                                AVENIDA SAN ANTONIO 432                                 $    35,500.00            
     JIMENA AGUILAR                               AVENIDA ZARAGOZA 876                                    $    33,000.00            
     NATALIA MARTINEZ                             PASEO DE LA REFORMA 543                                 $    39,250.00            
     ROSA VILLARREAL                              AVENIDA UNIVERSIDAD 432                                 $    36,750.00            
     TERESA CERVANTES                             PASEO DE LOS TAMARINDOS 654                             $    37,500.00            
     VALENTINA TREJO                              AVENIDA CHAPULTEPEC 543                                 $    39,750.00            
     SOFIA CASTILLO                               AVENIDA REVOLUCION 765                                  $    37,500.00            
     VALERIA GONZALEZ                             PASEO DE LOS ARCOS 432                                  $    35,750.00            
     CECILIA MARTINEZ                             AVENIDA UNIVERSIDAD 654                                 $    38,500.00            
     MONICA FUENTES                               PASEO INTERLOMAS 321                                    $    30,750.00            
     ISABEL REYES                                 AVENIDA SAN ANTONIO 876                                 $    35,250.00            
     JIMENA MENDEZ                                AVENIDA ZARAGOZA 765                                    $    33,500.00            
     NATALIA DOMINGUEZ                            PASEO DE LA REFORMA 876                                 $    39,250.00            
     ROSA CERVANTES                               AVENIDA CHAPULTEPEC 543                                 $    36,750.00            
     TERESA PEREZ                                 PASEO DE LOS TAMARINDOS 765                             $    37,500.00            
     VALENTINA SALAZAR                            AVENIDA MIGUEL ALEMAn 432                               $    39,750.00            
     SOFIA CASTILLO                               AVENIDA CONSTITUYENTES 765                              $    37,750.00            
     VALERIA GONZALEZ                             PASEO DE LOS ARCOS 543                                  $    35,500.00            
     CECILIA MARTINEZ                             AVENIDA UNIVERSIDAD 654                                 $    38,500.00            
     MONICA FUENTES                               PASEO INTERLOMAS 321                                    $    30,750.00            
     ISABEL REYES                                 AVENIDA SAN ANTONIO 876                                 $    35,500.00            
************************************************************************************************************************************
*                                                 Reporte de Empleados Eventuales                                      Pagina:   8 *
************************************************************************************************************************************
              NOMBRE EMPLEADO                                  DIRECCION                                      SUELDO      10/04/2025
     -----------------------------------          -----------------------------------                     --------------            
     JIMENA MENDEZ                                AVENIDA ZARAGOZA 765                                    $    33,500.00            
     NATALIA DOMINGUEZ                            PASEO DE LA REFORMA 876                                 $    39,250.00            
     ROSA CERVANTES                               AVENIDA CHAPULTEPEC 543                                 $    36,750.00            
     TERESA PEREZ                                 PASEO DE LOS TAMARINDOS 765                             $    37,500.00            
     VALENTINA SALAZAR                            AVENIDA MIGUEL ALEMAN 432                               $    39,750.00            
     SOLEDAD CASTRO                               AVENIDA CONSTITUYENTES 765                              $    37,750.00            
     PAULINA MARTINEZ                             PASEO DE LOS ARCOS 876                                  $    35,000.00            
     LUCIA REYES                                  AVENIDA REVOLUCION 159                                  $    38,500.00            
     CECILIA VILLANUEVA                           PASEO INTERLOMAS 432                                    $    30,750.00            
     JIMENA TREJO                                 AVENIDA BENITO JUAREZ 987                               $    35,500.00            
     REGINA SALAZAR                               AVENIDA ZARAGOZA 321                                    $    33,000.00            
     ADRIANA FUENTES                              PASEO DE LA REFORMA 543                                 $    39,250.00            
     VERONICA AGUILAR                             AVENIDA UNIVERSIDAD 432                                 $    36,750.00            
     PAOLA PEREZ                                  PASEO DE LOS TAMARINDOS 654                             $    37,250.00            
     GABRIELA MARTINEZ                            AVENIDA CHAPULTEPEC 543                                 $    39,750.00            
     SOLEDAD CASTRO                               AVENIDA CONSTITUYENTES 765                              $    37,750.00            
     PAULINA MARTINEZ                             PASEO DE LOS ARCOS 876                                  $    35,000.00            
     LUCIA REYES                                  AVENIDA REVOLUCION 159                                  $    38,500.00            
     CECILIA VILLANUEVA                           PASEO INTERLOMAS 432                                    $    30,750.00            
     JIMENA TREJO                                 AVENIDA BENITO JUAREZ 987                               $    35,500.00            
     REGINA SALAZAR                               AVENIDA ZARAGOZA 321                                    $    33,000.00            
     ADRIANA FUENTES                              PASEO DE LA REFORMA 543                                 $    39,250.00            
     VERONICA AGUILAR                             AVENIDA UNIVERSIDAD 432                                 $    36,750.00            
     PAOLA PEREZ                                  PASEO DE LOS TAMARINDOS 654                             $    37,250.00            
     GABRIELA MARTINEZ                            AVENIDA CHAPULTEPEC 543                                 $    39,750.00            
     VANESSA CASTILLO                             AVENIDA REVOLUCION 765                                  $    37,750.00            
     ISABEL GONZALEZ                              PASEO DE LOS ARCOS 432                                  $    35,000.00            
     MONICA MARTINEZ                              AVENIDA UNIVERSIDAD 654                                 $    38,500.00            
     SOFIA FUENTES                                PASEO INTERLOMAS 321                                    $    30,750.00            
     VALENTINA REYES                              AVENIDA SAN ANTONIO 876                                 $    35,500.00            
     CECILIA MENDEZ                               AVENIDA ZARAGOZA 765                                    $    33,000.00            
     JIMENA DOMINGUEZ                             PASEO DE LA REFORMA 876                                 $    39,250.00            
     ANDRES CERVANTES                             AVENIDA CHAPULTEPEC 543                                 $    36,750.00            
     JORGE PEREZ                                  PASEO DE LOS TAMARINDOS 765                             $    37,500.00            
     EMILIO SANCHEZ                               AVENIDA MIGUEL ALEMAN 432                               $    39,750.00            
     SOFIA DOMINGUEZ                              AVENIDA CONSTITUYENTES 765                              $    37,250.00            
     VALERIA CASTILLO                             PASEO DE LOS ARCOS 876                                  $    35,750.00            
     CECILIA SANDOVAL                             AVENIDA REVOLUCION 654                                  $    38,500.00            
     MONICA GUTIERREZ                             PASEO INTERLOMAS 369                                    $    30,500.00            
     ISABEL MENDEZ                                AVENIDA SAN ANTONIO 432                                 $    35,500.00            
     JIMENA AGUILAR                               AVENIDA ZARAGOZA 876                                    $    33,000.00            
     NATALIA MARTINEZ                             PASEO DE LA REFORMA 543                                 $    39,250.00            
     ROSA VILLARREAL                              AVENIDA UNIVERSIDAD 432                                 $    36,750.00            
     TERESA CERVANTES                             PASEO DE LOS TAMARINDOS 654                             $    37,500.00            
     VALENTINA TREJO                              AVENIDA CHAPULTEPEC 543                                 $    39,750.00            
     SOFIA CASTILLO                               AVENIDA CONSTITUYENTES 765                              $    37,750.00            
     VALERIA GONZALEZ                             PASEO DE LOS ARCOS 543                                  $    35,500.00            
     CECILIA MARTINEZ                             AVENIDA UNIVERSIDAD 654                                 $    38,500.00            
     MONICA FUENTES                               PASEO INTERLOMAS 321                                    $    30,750.00            
     ISABEL REYES                                 AVENIDA SAN ANTONIO 876                                 $    35,500.00            
     JIMENA MENDEZ                                AVENIDA ZARAGOZA 765                                    $    33,500.00            
     NATALIA DOMINGUEZ                            PASEO DE LA REFORMA 876                                 $    39,250.00            
     ROSA CERVANTES                               AVENIDA CHAPULTEPEC 543                                 $    36,750.00            
     TERESA PEREZ                                 PASEO DE LOS TAMARINDOS 765                             $    37,500.00            
     VALENTINA SALAZAR                            AVENIDA MIGUEL ALEMAN 432                               $    39,750.00            
************************************************************************************************************************************
*                                                 Reporte de Empleados Eventuales                                      Pagina:   9 *
************************************************************************************************************************************
              NOMBRE EMPLEADO                                  DIRECCION                                      SUELDO      10/04/2025
     -----------------------------------          -----------------------------------                     --------------            
     SOLEDAD CASTRO                               AVENIDA CONSTITUYENTES 765                              $    37,750.00            
     PAULINA MARTINEZ                             PASEO DE LOS ARCOS 876                                  $    35,000.00            
     LUCIA REYES                                  AVENIDA REVOLUCION 159                                  $    38,500.00            
     CECILIA VILLANUEVA                           PASEO INTERLOMAS 432                                    $    30,750.00            
     JIMENA TREJO                                 AVENIDA BENITO JUAREZ 987                               $    35,500.00            
     REGINA SALAZAR                               AVENIDA ZARAGOZA 321                                    $    33,000.00            
     ADRIANA FUENTES                              PASEO DE LA REFORMA 543                                 $    39,250.00            
     VERONICA AGUILAR                             AVENIDA UNIVERSIDAD 432                                 $    36,750.00            
     PAOLA PEREZ                                  PASEO DE LOS TAMARINDOS 654                             $    37,250.00            
     GABRIELA MARTINEZ                            AVENIDA CHAPULTEPEC 543                                 $    39,750.00            
     VANESSA GUTIERREZ                            AVENIDA CONSTITUYENTES 543                              $    37,250.00            
     ISABEL TREJO                                 PASEO DE LOS ARCOS 876                                  $    35,750.00            
     MONICA CASTILLO                              AVENIDA REVOLUCION 432                                  $    38,500.00            
     SOFIA SANDOVAL                               PASEO INTERLOMAS 654                                    $    30,750.00            
     VALENTINA MENDEZ                             AVENIDA SAN ANTONIO 876                                 $    35,500.00            
     CECILIA VILLANUEVA                           AVENIDA ZARAGOZA 543                                    $    33,500.00            
     JIMENA AGUILAR                               PASEO DE LA REFORMA 876                                 $    39,500.00            
     ANDRES CASTILLO                              AVENIDA UNIVERSIDAD 543                                 $    36,750.00            
     JORGE FUENTES                                PASEO DE LOS TAMARINDOS 654                             $    37,250.00            
     EMILIO SANCHEZ                               AVENIDA CHAPULTEPEC 543                                 $    39,750.00            
     SOLEDAD CASTRO                               AVENIDA CONSTITUYENTES 765                              $    37,750.00            
     PAULINA MARTINEZ                             PASEO DE LOS ARCOS 876                                  $    35,000.00            
     LUCIA REYES                                  AVENIDA REVOLUCION 159                                  $    38,500.00            
     CECILIA VILLANUEVA                           PASEO INTERLOMAS 432                                    $    30,750.00            
     JIMENA TREJO                                 AVENIDA BENITO JUAREZ 987                               $    35,500.00            
     REGINA SALAZAR                               AVENIDA ZARAGOZA 321                                    $    33,000.00            
     ADRIANA FUENTES                              PASEO DE LA REFORMA 543                                 $    39,250.00            
     VERONICA AGUILAR                             AVENIDA UNIVERSIDAD 432                                 $    36,750.00            
     PAOLA PEREZ                                  PASEO DE LOS TAMARINDOS 654                             $    37,250.00            
     GABRIELA MARTINEZ                            AVENIDA CHAPULTEPEC 543                                 $    39,750.00            
     VANESSA CASTRO                               AVENIDA CONSTITUYENTES 543                              $    37,750.00            
     ISABEL GONZALEZ                              PASEO DE LOS ARCOS 876                                  $    35,500.00            
     MONICA MARTINEZ                              AVENIDA UNIVERSIDAD 543                                 $    38,500.00            
     SOFIA FUENTES                                PASEO INTERLOMAS 765                                    $    30,750.00            
     VALENTINA REYES                              AVENIDA SAN ANTONIO 543                                 $    35,500.00            
     CECILIA MENDEZ                               AVENIDA ZARAGOZA 432                                    $    33,500.00            
     JIMENA DOMINGUEZ                             PASEO DE LA REFORMA 543                                 $    39,250.00            
     ANDRES CERVANTES                             AVENIDA CHAPULTEPEC 765                                 $    36,750.00            
     JORGE PEREZ                                  PASEO DE LOS TAMARINDOS 654                             $    37,500.00            
     EMILIO SANCHEZ                               AVENIDA MIGUEL ALEMAN 543                               $    39,750.00            
     SOFIA CASTILLO                               AVENIDA REVOLUCION 765                                  $    37,750.00            
     VALERIA GONZALEZ                             PASEO DE LOS ARCOS 432                                  $    35,000.00            
     CECILIA MARTINEZ                             AVENIDA UNIVERSIDAD 654                                 $    38,500.00            
     MONICA FUENTES                               PASEO INTERLOMAS 765                                    $    30,750.00            
     ISABEL REYES                                 AVENIDA SAN ANTONIO 543                                 $    35,500.00            
     JIMENA MENDEZ                                AVENIDA ZARAGOZA 432                                    $    33,500.00            
     NATALIA DOMINGUEZ                            PASEO DE LA REFORMA 543                                 $    39,250.00            
     ROSA CERVANTES                               AVENIDA CHAPULTEPEC 765                                 $    36,750.00            
     TERESA PEREZ                                 PASEO DE LOS TAMARINDOS 654                             $    37,500.00            
     VALENTINA SALAZAR                            AVENIDA MIGUEL ALEMAN 543                               $    39,750.00            
     SOFIA DOMINGUEZ                              AVENIDA CONSTITUYENTES 654                              $    37,750.00            
     VALERIA CASTILLO                             PASEO DE LOS ARCOS 765                                  $    35,250.00            
     CECILIA SANDOVAL                             AVENIDA REVOLUCION 987                                  $    38,500.00            
     MONICA GUTIERREZ                             PASEO INTERLOMAS 654                                    $    30,750.00            
     ISABEL MENDEZ                                AVENIDA SAN ANTONIO 876                                 $    35,500.00            
************************************************************************************************************************************
*                                                 Reporte de Empleados Eventuales                                      Pagina:  10 *
************************************************************************************************************************************
              NOMBRE EMPLEADO                                  DIRECCION                                      SUELDO      10/04/2025
     -----------------------------------          -----------------------------------                     --------------            
     JIMENA AGUILAR                               AVENIDA ZARAGOZA 543                                    $    33,000.00            
     NATALIA MARTINEZ                             PASEO DE LA REFORMA 432                                 $    39,250.00            
     ROSA VILLARREAL                              AVENIDA UNIVERSIDAD 321                                 $    36,750.00            
     TERESA CERVANTES                             PASEO DE LOS TAMARINDOS 765                             $    37,500.00            
     VALENTINA TREJO                              AVENIDA CHAPULTEPEC 543                                 $    39,750.00            
                                                                                                                                    
                                                   CALCULADO                                                                        
                                                   Total Empleados Leidos:      1,000                                               
                                                   Total Empleados Grabados:      500                                               
                                                   Total Sueldo Actual:       $   40,985,800.00                                     
                                                   Total Sueldo Incrementado: $   19,228,702.50                                     
